trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,12.781239700001606,12.781239700001606,0.03732800000580028,[-0.09895833333333333],[0.4895833333333333],[1],[0],[0],[2.2682082999963313],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
1,0,1,0,10,15.084080499997071,15.084080499997071,0.033992600001511164,[0.22526041666666666],[-0.3333333333333333],[1],[0],[0],[2.623679500000435],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
2,0,2,0,5,17.728400200001488,17.728400200001488,0.02074680000077933,[-0.2864583333333333],[-0.3763020833333333],[1],[0],[0],[2.1381462999997893],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
3,0,3,0,10,19.907929799999692,19.907929799999692,0.03221309999935329,[0.4908854166666667],[-0.4127604166666667],[1],[0],[0],[2.42712589999428],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
4,0,4,0,5,22.358186299999943,22.358186299999943,0.021333900003810413,[-0.3619791666666667],[0.06640625],[1],[0],[0],[2.218763199998648],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
5,0,5,0,10,24.61680029999843,24.61680029999843,0.032562200001848396,[-0.5026041666666666],[-0.21744791666666666],[1],[0],[0],[2.0591693999958807],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
6,0,6,0,10,26.710855099998298,26.710855099998298,0.03020709999691462,[0.4075520833333333],[0.4973958333333333],[1],[0],[0],[2.5629621999978554],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
7,0,7,0,5,29.288531199999852,29.288531199999852,0.016832199995405972,[-0.12239583333333333],[0.045572916666666664],[1],[0],[0],[2.0592878999959794],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
8,0,8,0,5,31.366182099998696,31.366182099998696,0.01601479999953881,[-0.24479166666666666],[0.30078125],[1],[0],[0],[1.8289530000038212],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
9,0,9,0,10,33.24303900000086,33.24303900000086,0.03917809999984456,[0.18619791666666666],[-0.2265625],[1],[0],[0],[2.569231300003594],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
10,0,10,0,10,35.856577300000936,35.856577300000936,0.039148799995018635,[-0.4375],[-0.4505208333333333],[1],[0],[0],[2.667974999996659],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
11,0,11,0,10,38.56001419999666,38.56001419999666,0.03061100000195438,[-0.046875],[0.024739583333333332],[1],[0],[0],[2.6787947000048007],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
12,0,12,0,10,41.27609809999558,41.27609809999558,0.032884699998248834,[-0.234375],[-0.1953125],[1],[0],[0],[1.975605400002678],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
13,0,13,0,5,43.27080069999647,43.27080069999647,0.019385799998417497,[-0.026041666666666668],[-0.4192708333333333],[1],[0],[0],[2.1729385999933584],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
14,0,14,0,10,45.492957900001784,45.492957900001784,0.03880360000039218,[0.4518229166666667],[-0.2864583333333333],[1],[0],[0],[2.4679774999967776],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
15,0,15,0,10,47.99427129999822,47.99427129999822,0.031483200000366196,[0.21744791666666666],[-0.4505208333333333],[1],[0],[0],[2.3779966000001878],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
